#	nam		jbd		cat	sta		cts	sal	ben
	dshw				1	applying	
	sdia				1	applied
	bnl				1	psschd
	anl				2	psawtres
	lbl				2	psschd
	intl				3	interview1
	sdsc				2	aplng
	goog				3	applying
	face				3	applying
	appl				2	reject
	cerbx				2	psschd
	dnanexus			2	applied
